[2025-05-02 19:06:32] [INFO    ] discord.client: logging in using static token
[2025-05-02 19:06:32] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-05-02 19:06:32] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-05-02 19:06:32] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1367950295392321576', 'username': 'BOT Duality', 'avatar': '5549618dedb4526dee26ea536dfb4b5c', 'discriminator': '0342', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '800abbba1251b3763976cba35a96a0f2', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-05-02 19:06:32] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-05-02 19:06:32] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-05-02 19:06:32] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1367950295392321576', 'name': 'BOT Duality', 'icon': '5549618dedb4526dee26ea536dfb4b5c', 'description': '', 'type': None, 'bot': {'id': '1367950295392321576', 'username': 'BOT Duality', 'avatar': '5549618dedb4526dee26ea536dfb4b5c', 'discriminator': '0342', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '800abbba1251b3763976cba35a96a0f2', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '453fc0df87531453967ffe9a69d280702b6ce79fa7c4a1eb142d61c37a6e9c7d', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '171416477616832512', 'username': 'ghettobird', 'avatar': 'd453531fc04c052d7b744fab45594235', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 4090836, 'global_name': 'ghettobird', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': '#3e6bd4', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-05-02 19:06:33] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-05-02 19:06:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-c-r0cz",{"micros":0.0}]']}}
[2025-05-02 19:06:33] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-05-02 19:06:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-02 19:06:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'BOT Duality', 'primary_guild': None, 'mfa_enabled': False, 'id': '1367950295392321576', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '0342', 'clan': None, 'bot': True, 'avatar': '5549618dedb4526dee26ea536dfb4b5c'}, 'session_type': 'normal', 'session_id': 'b6842cd16e810ae91b0e2cdde9451eab', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1197071765080383499'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-south', 'us-west', 'us-central', 'oregon', 'santa-clara'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1367950295392321576', 'flags': 565248}, '_trace': ['["gateway-prd-us-east1-c-r0cz",{"micros":197304,"calls":["id_created",{"micros":390,"calls":[]},"session_lookup_time",{"micros":5429,"calls":[]},"session_lookup_finished",{"micros":23,"calls":[]},"discord-sessions-prd-2-86",{"micros":191085,"calls":["start_session",{"micros":182993,"calls":["discord-api-rpc-757b644989-hwmsg",{"micros":168564,"calls":["get_user",{"micros":20427},"get_guilds",{"micros":34921},"send_scheduled_deletion_message",{"micros":7},"guild_join_requests",{"micros":1},"authorized_ip_coro",{"micros":13},"pending_payments",{"micros":3377},"apex_user_experiments",{"micros":4},"user_activities",{"micros":1}]}]},"starting_guild_connect",{"micros":22,"calls":[]},"presence_started",{"micros":325,"calls":[]},"guilds_started",{"micros":75,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":7650,"calls":[]},"connect_finished",{"micros":7654,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-05-02 19:06:33] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-02 19:06:33] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: b6842cd16e810ae91b0e2cdde9451eab).
[2025-05-02 19:06:33] [DEBUG   ] discord.client: Dispatching event connect
